finding_id,project,criterion,checker,file,line,quote,flagged_defect,suggested_fix,subtype_hidden,verdict[real|style|wrong],note
fnd_bca547cce576,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,324,That’s a precondition for the professionals that our company hires.,Неудачный выбор слова: precondition здесь звучит неестественно и мешает пониманию.,That’s a requirement for the professionals that our company hires.,wording,,
fnd_a0a30f5b661d,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,206,c. `Example: Save \n Ivanov Ivan Ivanovich \n orthopedist \n 2024-04-13`,"Текст примера оформлен как кодовой фрагмент внутри пункта списка; из-за этого маркеры и пример выглядят смешанно. Это не ошибка кода, но неудачное оформление цитирования/выделения.",Оформить пример без внешних бэктиков: c. Example: Save \n Ivanov Ivan Ivanovich \n orthopedist \n 2024-04-13,quote_style,,
fnd_96aa9f3983b6,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,72,Время сна — количество миллисекунд сна.,"Неудачная формулировка: повторяется слово «сна», из-за чего фраза звучит тяжеловесно.","Время сна — количество миллисекунд, в течение которых спит горутина.",wording,,
fnd_9e00dfd7db7e,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,108,1) Операнды и операция вводятся в консоли через нажатие Enter.,Фраза звучит неестественно: «через нажатие Enter» лучше заменить более прямой формулировкой.,«Операнды и операция вводятся в консоль с нажатием Enter.»,wording,,
fnd_be7a6693a734,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,90,an authorization method that takes the login and password in the header as base64(login:password) and returns the user's UUID.,"Фраза сформулирована неуклюже: ""takes the login and password in the header"" звучит тяжеловесно и неестественно.",an authorization method that takes the login and password from the header as base64(login:password) and returns the user's UUID.,wording,,
fnd_67ae07ee574d,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,51,uniquely defining the subject in the information system,Повторяется смысл «unique/uniquely».,Заменить на: «defining the subject in the information system»,tautology,,
fnd_75fd05338201,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,136,1) Программа сортирует результирующий массив по убыванию и возвращает K первых слов.,"Неудачная формулировка: для словосочетания «сортирует ... по убыванию» не хватает указания, по какому признаку ведётся сортировка.",Программа сортирует результирующий массив по убыванию частоты и возвращает K первых слов.,wording,,
fnd_44b078c786c6,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,251,"When there are two commas in a row in the string, the program should not display anything.","Фраза сформулирована неудачно: ""in a row"" и ""in the string"" делают предложение громоздким.","When there are two commas in a row, the program should not display anything.",wording,,
fnd_886401195dbd,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,45,в среднем 4 Кб,Неверное написание единицы измерения: в русском тексте лучше использовать «КБ» или «КБ» без смешения с латиницей.,в среднем 4 КБ,typo,,
fnd_4597053a5e15,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README.md,88,returns channel 2,"Неудачная формулировка: здесь тоже лучше явно назвать канал, чтобы избежать двусмысленности.",заменить на «returns the second channel» или «returns channel 2 (`ch2`)»,wording,,
fnd_52cf71fab155,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,5,We recommend completing the survey immediately after finishing the project.,Фраза звучит неестественно и повторяет смысл без необходимости.,We recommend completing the survey right after finishing the project.,wording,,
fnd_bb0c39fcb667,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,201,the doctor's specialization,В соседнем предложении используется другая форма с апострофом и без согласования по стилю: visitor’s / doctor's. Для единообразия лучше привести к одной форме.,the doctor’s specialization,case,,
fnd_4c0e621243d5,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,33,в одноименный репозиторий,"Неудачное согласование: слово стоит в форме мужского рода, но с существительным «репозиторий» лучше использовать форму, согласованную с контекстом фразы.",Перед выполнением проект необходимо склонировать с GitLab в одноимённый репозиторий.,case,,
fnd_236df1220704,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,94,"- **Go Proverbs** — search for the article using keywords like “Go proverbs” (in Russian), original version: “go proverbs”.",Смешаны кавычки одного типа с английским текстом; здесь лучше использовать единообразное оформление поисковых запросов.,"Привести к одному стилю, например: ""- **Go Proverbs** — search for the article using keywords like ""Go proverbs"" (in Russian); the original version: ""go proverbs"".""",quote_style,,
fnd_e56fb332fb61,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,35,Все файлы с кодом необходимо создавать в папке src склонированного репозитория.,Неудачная формулировка: слово «склонированного» звучит разговорно и тяжеловесно в данном контексте.,Все файлы с кодом необходимо создавать в папке src клонированного репозитория.,wording,,
fnd_884539715e45,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,109,1) Операнды имеют тип Float64.,"Название типа в русском тексте выглядит как англоязычный термин, лучше унифицировать написание с программным обозначением.",«Операнды имеют тип float64.»,case,,
fnd_75bc819e4736,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,84,`if __name__ == ‘__main__’`,Внутри бэктиков использованы неправильные кавычки вокруг __main__ — они отличаются от стандартных ASCII-кавычек.,Заменить на: `if __name__ == '__main__'`,quote_style,,
fnd_b5c194c91a48,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,check-list_RUS.yml,127,завершить нажатие нужно нажатием Enter,Тавтология: «нажатие нужно нажатием».,Заменить на «завершить ввод нужно нажатием Enter».,tautology,,
fnd_dca095b3b3cd,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,172,завершить нажатие нужно нажатием Enter,Тавтология: «нажатие нужно нажатием».,Заменить на «завершить ввод нужно нажатием Enter».,tautology,,
fnd_3e5f24f7d392,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,52,sync.Atomic,"Название типа/пакета оформлено неточно: в тексте, вероятно, имеется в виду `sync/atomic` или `atomic` внутри пакета `sync`.",sync/atomic,typo,,
fnd_686a0b61faec,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README_RUS.md,3,Сегодня ты получишь базовые знания о синтаксисе и семантике Python.,Слово «Сегодня» не согласуется по регистру с остальным текстом после двоеточия.,заменить на «сегодня»,case,,
fnd_fa4e4711d74a,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README.md,50,Channels form the basis for data exchange and synchronization between threads.,"Неудачная формулировка: в Go обычно синхронизируются goroutines, а не threads, поэтому фраза звучит неточно.",заменить на «Channels form the basis for data exchange and synchronization between goroutines.»,wording,,
fnd_20b56b217ae4,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,93,- **Awesome-Go** — you can find it by searching “awesome-go github”.,Смешаны типографские кавычки внутри списка; для учебного текста лучше выдержать единый стиль оформления цитирования/поисковых запросов.,"Заменить на единый формат, например: ""- **Awesome-Go** — you can find it by searching ""awesome-go github"".""",quote_style,,
fnd_850e005de6df,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,88,Create an authorization service that uses UserService:,"Неудачная формулировка: после двоеточия ожидается пояснение, а конструкция звучит оборванно.",Create an authorization service that uses UserService.,wording,,
fnd_83c7725f943e,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,57,Upon successful authorization on the server,Сочетание звучит тяжеловесно и неестественно.,Заменить на: «After successful authorization on the server»,wording,,
fnd_58744f7ca8fc,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,86,Основная программа (`main`) вычитывает числа из канала 2 и печатает его в консоль.,Ошибка согласования: местоимение «его» относится к множественному числу «числа».,Основная программа (`main`) вычитывает числа из канала 2 и печатает их в консоль.,typo,,
fnd_7c79906e91fd,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,96,заблокировать все порты = положить всю инфраструктуру компании.,Смешана книжная и разговорная лексика; выражение с «=» выглядит неудачно для учебного текста.,заблокировать все порты означает фактически остановить всю инфраструктуру компании.,wording,,
fnd_df8373fb1532,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,344,"If the scripts are given a string containing Cyrillic symbols, for example, the scripts should raise the exception: ""The script does not support your language yet."" If an incorrect number of arguments is given, raise an exception.",Неудачная и немного сбивчивая формулировка: повторяется слово scripts и фраза с the exception построена тяжеловесно.,"Переформулировать как «If the script is given a string containing Cyrillic symbols, for example, it should raise the exception: ... If an incorrect number of arguments is given, raise an exception.»",wording,,
fnd_157b88bc6267,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README.md,104,Tick `<i>` since `<time>`,Смешаны обычные кавычки и бэктики вокруг шаблона вывода; для одного типа цитирования лучше использовать единое оформление.,"оформить шаблон последовательно, например: `Tick <i> since <time>`",quote_style,,
fnd_3028104fb9fc,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,74,"app.diagrams.net, иконки устройств, сетевые топологии, структурная схема ЛВС.","После двоеточия перечисление оформлено неудачно: название сервиса стоит как обычный элемент списка, хотя это отдельный источник/инструмент.",Для решения данного задания нужны знания в следующих темах: app.diagrams.net; иконки устройств; сетевые топологии; структурная схема ЛВС.,case,,
fnd_56f3b55d20a7,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README_RUS.md,90,"Создай контроллер авторизации, у которого будут следующие endpoint'ы:",Смешение русской фразы с английским термином в форме с апострофом выглядит неудачно.,"Создай контроллер авторизации, у которого будут следующие endpoints:",wording,,
fnd_ccfdaf4fe460,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,152,You have the following dictionaries to copy to one of your functions:,"Неудачная формулировка: в английском здесь естественнее сказать, что словари нужно скопировать в одну из функций.",You have the following dictionaries to copy into one of your functions:,wording,,
fnd_874a65dfc538,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,55,Authorization via Login and Password**,Нарушено оформление: лишние закрывающие `**` без пары.,Заменить на: «Authorization via Login and Password**» -> «Authorization via Login and Password»,quote_style,,
fnd_e72c767ef0de,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,1,"IT-инфаструктура предприятия: такие разные, но такие одинаковые",В слове допущена опечатка.,"IT-инфраструктура предприятия: такие разные, но такие одинаковые",typo,,
fnd_b9de37a5081b,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,67,"Защищенной ИТ-инфраструктурой может считаться только та, в которой все эти столпы выполняются.",Неудачная формулировка: «столпы» не могут «выполняться»; лучше говорить о соблюдении свойств триады.,"Защищенной ИТ-инфраструктурой может считаться только та, в которой соблюдаются все эти принципы.",wording,,
fnd_01483d6f9417,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,75,триальная версия,Слово «триальная» — разговорное и в учебном тексте выглядит как лексическая огреха; лучше использовать более нейтральный вариант.,пробная версия,typo,,
fnd_ca988acb0fff,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,138,"1) Если слов в строке меньше K, то выводится список из всех уникальных слов, отсортированных по их частоте вхождения в строку.","Неудачная формулировка: «слов в строке меньше K» звучит некорректно, так как сравниваются не слова, а их количество.","Если количества слов в строке меньше K, то выводится список из всех уникальных слов, отсортированных по их частоте вхождения в строку.",wording,,
fnd_6430d803c663,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,104,_Твое задание_:,"Смешение оформления: нижнее подчеркивание используется как вики-разметка, хотя текст остальной строки оформлен иначе.",Твое задание:,quote_style,,
fnd_c89fe6706503,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,102,"1) Пользователь вводит операцию, нажимает Enter.","В соседних пунктах уже повторяется одинаковая конструкция с «Пользователь вводит…», из-за чего формулировка выглядит однообразной.","Переформулировать один из пунктов, например: «Пользователь вводит знак операции, нажимает Enter.»",tautology,,
fnd_785a725cade9,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,76,"fully understand the “why”, “how”, and “purpose” behind the solution.",Смешаны типографские кавычки вокруг английских слов в перечислении; это выглядит неаккуратно в одном ряду с остальным текстом.,"Привести кавычки к единому виду, например: fully understand the 'why', 'how', and 'purpose' behind the solution.",quote_style,,
fnd_746a62114a5f,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,203,in one of the functions,"Неудачная формулировка: здесь, вероятно, имеется в виду не «в одной из функций».",Заменить на: «in the functions» или «in one of the folders» — в зависимости от смысла задания.,wording,,
fnd_e36faf0137ff,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,48,Этот факт диктует следующие постулаты для обеспечения защиты ИТ-инфраструктуры:,Повторяется корень «защищ-»: «защиты» и «обеспечения защиты».,Этот факт диктует следующие постулаты для обеспечения безопасности ИТ-инфраструктуры:,tautology,,
fnd_d45e4303493e,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,84,Функция генератор запускает горутину и возвращает канал 1.,Неудачное согласование: «функция генератор» звучит грамматически неполно.,Функция-генератор запускает горутину и возвращает канал 1.,wording,,
fnd_ff09ad760697,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,47,"Разработан он был как более простая альтернатива языку С++, так как в компании был ряд проблем, которые было сложно решить сразу.","Неудачная формулировка: выражение «ряд проблем, которые было сложно решить сразу» звучит размыто и тяжеловесно.","Разработан он был как более простая альтернатива языку С++, поскольку в компании существовал ряд проблем, которые было сложно решить другими средствами.",wording,,
fnd_6c8d28dfb4fd,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,86,речь про сервера / облачные вычисления / гипервизоры.,"Неверная форма множественного числа: в этом значении обычно пишут «серверы», а не «сервера».",речь идет о серверах / облачных вычислениях / гипервизорах.,case,,
fnd_002adc47c4c7,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,323,and returns the first paragraph of a letter:,"Фраза звучит неполно: неясно, что именно должно быть возвращено — сам текст первого абзаца письма.",and returns the first paragraph of the letter:,wording,,
fnd_cc7fd3ea98ba,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,34,Перед выполнением проект необходимо склонировать с GitLab в одноименный репозиторий.,Нарушено согласование: вместо формы «проект» в винительном падеже должна быть другая форма.,Перед выполнением проекта необходимо склонировать его с GitLab в одноименный репозиторий.,case,,
fnd_06fa50f95aba,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,89,физических АРМов уважаемых коллег,Форма аббревиатуры оформлена неудачно: в таком написании лучше использовать без окончания или с нормативным склонением.,физических АРМ уважаемых коллег,case,,
fnd_cefd78183b83,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,86,To be assessed your solution must be in your GIT repository.,Нарушен порядок слов: фраза звучит неестественно и требует перестройки.,"Написать: To be assessed, your solution must be in your GIT repository.",wording,,
fnd_852dc6aef324,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,173,Списки чисел на вход поступают неупорядоченные,Нарушено согласование: краткое причастие должно согласовываться с существительным в форме именительного падежа.,На вход поступают неупорядоченные списки чисел.,case,,
fnd_4535cb8b6a1f,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,80,Программа считывает из аргументов запуска команды `K` и `N`.,Неудачная формулировка: слово «команды» здесь употреблено лишне и мешает смыслу.,Программа считывает из аргументов запуска `K` и `N`.,wording,,
fnd_dfe62f977d08,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,59,forming the authorization header,"Слишком тяжёлая вставка в скобках, формулировка выглядит неудачно.",Заменить на: «(the Authorization header)»,wording,,
fnd_cf48bcb33bf4,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,135,"1) Программа определяет, сколько раз каждое слово встречается в строке.",Неудачная формулировка: «сколько раз» лучше согласовать с последующим перечислением действий и сделать предложение более естественным.,"Программа определяет, сколько раз встречается каждое слово в строке.",wording,,
fnd_718c07685e2a,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,check-list_RUS.yml,155,специализация врача и дата визита,Ошибка падежного согласования в перечислении.,Заменить «и дата визита» на «и дату визита».,case,,
fnd_6b095e6a5262,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,203,специализация врача и дата визита,Ошибка падежного согласования в перечислении.,Заменить «и дата визита» на «и дату визита».,case,,
fnd_16c0fe2dd0f5,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,59,"an ""Unauthorized"" response",Кавычки вокруг названия статуса оформлены неудачно в тексте на английском.,Заменить на: «an Unauthorized response»,quote_style,,
fnd_c49a7d81215f,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,45,компилируемый многопоточный язык,Формулировка про многопоточность языка звучит неточно и может сбивать студента.,Заменить на «компилируемый язык программирования с поддержкой конкурентности».,wording,,
fnd_327bc74dc973,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,check-list_RUS.yml,125,завершить нажатие нужно нажатием Enter,Тавтология: «нажатие нужно нажатием».,Заменить на «завершить ввод нужно нажатием Enter».,tautology,,
fnd_bdf60ed83b13,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,81,Параметры `K` и `N` задаются через аргументы при вызове программы.,Неудачная формулировка: «через аргументы при вызове программы» звучит громоздко и тавтологично.,Параметры `K` и `N` задаются аргументами при вызове программы.,wording,,
fnd_4064e240ad48,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,35,проект необходимо склонировать,Нарушено согласование: слово «проект» должно быть в нужном падеже при управлении «перед выполнением».,Перед выполнением проекта необходимо склонировать его с GitLab в одноимённый репозиторий.,case,,
fnd_75cd8659ab78,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,27,вокруг тебя такие же пиры,Слово употреблено с опечаткой: вместо нужного слова написано другое.,вокруг тебя такие же пэры,typo,,
fnd_441e3994e4f6,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README.md,131,"If capacity is exceeded, rarely used items should be evicted.","Смысл почти дублирует предыдущий пункт, из-за чего возникает тавтология.","объединить с предыдущим пунктом или переформулировать, например: «If capacity is exceeded, the least recently used item is evicted.»",tautology,,
fnd_65cfc9e289de,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README_RUS.md,98,Опиши Bean для получения SecurityFilterChain.,Слово «Bean» лучше привести к русской форме или единообразию с остальным текстом.,Опиши bean для получения SecurityFilterChain.,wording,,
