Проект,project_id,Критерий,критерий_код,Тип (авто),Оставить (defect/opinion),Строка,Файл (якорь),URL (якорь),Цитата/фраза (якорь),Текст кейса,SDP
CbS11_Enterprise_IT_landscape.ID_1573765-master,cbs11_enterprise_it_landscape_id_1573765_master__b612154a,Грамотность и читаемость текста,readability,defect,defect,,,,,"На схеме в задании у половины хостов домен ""COMPANY"", а у другой половины - ""COMANY"" (буква P пропущена) - выглядит как опечатка",https://jira.21-school.ru/browse/SDP-6885
CbS4_Networking_basics_Part_4.ID_1521091-master,cbs4_networking_basics_part_4_id_1521091_master__2829d3ee,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,"Следов выполнения команды whoami через Reverse Shell в прилагаемом к заданию 2 проекта CbS4_Networking_basics_Part 4 файле дампа (pcapng) просто нет. В качестве подтверждения присылаю скрины по разбору TCP потока из WireShark. Не очень хочется, чтобы последующим пирам снижали оценку за несуществующие ошибки выполнения",https://jira.21-school.ru/browse/SDP-6536
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,13,,,chapter ii; chapter iii,"13 - Дублирующийся якорь #chapter-ii, заголовок назван «Chapter II», хотя по смыслу должно быть «Chapter III» - «Chapter III», якорь #chapter-iii",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,38,,,chapter i; chapter ii,"38 - Заголовок «Chapter I» повторяется второй раз (уже был в с.20), по аналогии с первым проектом буткемпа здесь должно быть «Chapter II» - «Chapter II»",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,60,,,chapter ii; chapter iii,"60 - Заголовок «Chapter II» — с учётом ошибки выше, фактически это уже третья глава - «Chapter III»",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Актуальность,actuality,defect,defect,5,,https://new.oprosso.net,,5 - Сломанная ссылка: обратный слеш вместо прямого в https:/\new.oprosso.net - https://new.oprosso.net,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,45,,,компилируемый многопоточный язык; компилируемый язык программирования с поддержк,45 - «компилируемый многопоточный язык» — Go не является многопоточным в классическом смысле - «компилируемый язык программирования с поддержкой конкурентности»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,75,,,установка для редактора visual studio code; хорошим выбором также является плаги,75 - «установка для редактора Visual Studio Code» — неловкая формулировка - «хорошим выбором также является плагин Go для Visual Studio Code»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,83,,,все 3 ссылки статичны,83 - «Все 3 ссылки статичны» — поменять местами 83 и 85,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,101-110,,,,101–110 - Все 10 пунктов пронумерованы как 1) - Пронумеровать от 1) до 10),https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,119,,,,119 - Отсутствует двоеточие: Input operation - Input operation:,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,122,,,,122 - Отсутствует двоеточие: Input right operand - Input right operand:,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,131,,,отсортированный по возрастанию; отсортированный по убыванию частоты,"131 - Противоречие: «отсортированный по возрастанию», но пример и с.136 подразумевают убывание частоты - «отсортированный по убыванию частоты»",https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,133-145,,,,133–145 - Все 10 пунктов пронумерованы как 1) - Пронумеровать от 1) до 10),https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,140,,,словом является любая последовательность символов разделённая пробелами; словом ,"140 - «Словом является любой символ, разделенный пробелами» — слово это не символ, а последовательность символов - «Словом является любая последовательность символов, разделённая пробелами»",https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,171-172,,,завершить ввод нужно нажатием enter; завершить нажатие нужно нажатием enter,171–172 - Тавтология: «завершить нажатие нужно нажатием Enter» - «завершить ввод нужно нажатием Enter»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,173,,,поступают неупорядоченные; поступают неупорядоченными,173 - Грамматика: «поступают неупорядоченные» - «поступают неупорядоченными»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,192,,,empty intersection,192 - Кавычки вокруг «Empty intersection» — в остальных местах ошибки пишутся с обычными скобочками или бэктиками - привести в один вид,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,192-193,,,,192–193 - Нумерация сбита: после блока 1) идут 1) и 2) - Продолжить как 6) и 7),https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,197-211,,,,197–211 - Все 5 пунктов пронумерованы как 1) - Пронумеровать от 1) до 5),https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,198,,,и дату визита; специализацию врача… и дата визита,198 - Грамматика: «специализацию врача… и дата визита» - «и дату визита»,https://jira.21-school.ru/browse/SDP-6673
BSA08_UseCase.ID_1361452-master,bsa08_usecase_id_1361452_master__79f98ef4,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,Разнятся рекомендуемые названия в файлах в условии проекта и в чек-листе,https://jira.21-school.ru/browse/SDP-6626
BSA08_UseCase.ID_1361452-master,bsa08_usecase_id_1361452_master__79f98ef4,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,":small_blue_diamond: Description: В проекте BSA08 в readme и readme_rus рекомендуется называть файлы xxx_UC.dox, в чек-листе же xxx_usecase.dox",https://jira.21-school.ru/browse/SDP-6626
SQLB1_Basics.ID_574086-master,sqlb1_basics_id_574086_master__8bfacdb4,Точность и корректность,correctness,defect,defect,,,,,Отсутствует ВМ для выполнения SQLB1_Basics,https://jira.21-school.ru/browse/SDP-6548
SQLB1_Basics.ID_574086-master,sqlb1_basics_id_574086_master__8bfacdb4,Точность и корректность,correctness,defect,defect,,,,,":small_blue_diamond: Description: В инструкции из папки materials приведен путь /opt/source21, откуда нужно импортировать ВМ для выполнения задания. По факту директория source21 отсутствует.",https://jira.21-school.ru/browse/SDP-6548
SQLB3_Retrieving_data.ID_574089-master,sqlb3_retrieving_data_id_574089_master__366810d2,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,не прописано условие self-join,https://jira.21-school.ru/browse/SDP-6608
SQLB3_Retrieving_data.ID_574089-master,sqlb3_retrieving_data_id_574089_master__366810d2,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,":small_blue_diamond: Description: В SQLB3 в задании 10 требуется найти пары людей, проживающих по одному адресу, и вывести результат в трёх колонках: person_name1, person_name2, common_address. Однако в задании не специфицировано, каким образом выбирать, кто из двух людей попадает в колонку person_name1, а кто — в person_name2.",https://jira.21-school.ru/browse/SDP-6608
SQLB3_Retrieving_data.ID_574089-master,sqlb3_retrieving_data_id_574089_master__366810d2,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,"В чеклисте ожидается условие p1.id > p2.id. У пира с решением, например, p1.id < p2.id, вывод будет отличаться от ожидаемого в чеклисте, хотя формально решение проходит по всем условиям задачи, т.к. оба варианта дадут полный набор уникальных пар.",https://jira.21-school.ru/browse/SDP-6608
SQLB11_Functions_and_procs.ID_574108-master,sqlb11_functions_and_procs_id_574108_master__431d8d18,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,":small_blue_diamond: Description: По заданию нужно найти пиццерии, где был человек в определённый день и где мог заказать пиццу дешевле определённой суммы.",https://jira.21-school.ru/browse/SDP-6586
SQLB11_Functions_and_procs.ID_574108-master,sqlb11_functions_and_procs_id_574108_master__431d8d18,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,"В чек листе на втором наборе тестовых параметров правильным результатов считается вывод из 4 строк Pizza Hut, что бесмысленно, достаточно одной",https://jira.21-school.ru/browse/SDP-6586
FEB1_JS.ID_883439-master,feb1_js_id_883439_master__124e7b72,Точность и корректность,correctness,defect,defect,,,,,в задание 7 приведна таблица вывода где написано что возвращается объект со всеми купюраками (и теми что 0 и теми что имеют какое-то значение),https://jira.21-school.ru/browse/SDP-6555
FEB1_JS.ID_883439-master,feb1_js_id_883439_master__124e7b72,Точность и корректность,correctness,defect,defect,,atm.js,,,"но уже в файле для задания (atm.js) написано что выводится только те которые имеют какое либо число, отличное от 0",https://jira.21-school.ru/browse/SDP-6555
FEB1_JS.ID_883439-master,feb1_js_id_883439_master__124e7b72,Точность и корректность,correctness,defect,defect,,,,,как-то нало это между собой состыковать,https://jira.21-school.ru/browse/SDP-6555
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,,"Опечатка в упражнении 08, DSB2",https://jira.21-school.ru/browse/SDP-6521
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,,":small_blue_diamond: Description: Проект DSB2_Syntax&Semantics, упражнение 08.",https://jira.21-school.ru/browse/SDP-6521
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,,"Следуя условию задачи, получаем таблицу с полем Name, где имена записаны на латинице. По заданию требуется создать скрипт, который будет возвращать первый абзац письма: Иван, добро пожаловать ... В письме имя написано уже на русском. Перевод имени с латиницы на русский по заданию не требуется.",https://jira.21-school.ru/browse/SDP-6521
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,,"Исправить нумерацию задач на 1, 2, 3.",https://jira.21-school.ru/browse/SDP-6521
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,,"В тексте задания 1 написано название поля таблицы Email, а в примере E-mail (через дефис). Привести к одному названию.",https://jira.21-school.ru/browse/SDP-6521
DSB2_Syntax_Semantics.ID_886511-master,dsb2_syntax_semantics_id_886511_master__c68318a6,Грамотность и читаемость текста,readability,defect,defect,,,,в компании работались,"В тексте письма допущена опечатка ""... в компании работались ..."" корректно ""работали",https://jira.21-school.ru/browse/SDP-6521
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,opinion,opinion,,,,,"По-моему, это максимально необязательный (а то и бесполезный) проект.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,defect,defect,,,,,"Идентификация и трассировка требований должна выполняться по мере создания требований, а не отдельно. К тому же это и так выполняется в рамках других проектов, поэтому непонятно зачем добавлять это снова.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Точность и корректность,correctness,opinion,opinion,,,,,"Создание тест-кейсов не является обязанностью аналитика. Тестировщику должно быть достаточно правильно написанного тест-кейса и описания выполняемых проверок, остальное он сделает сам или придет за уточнениями. Поэтому тоже необязательная часть.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,defect,defect,,,,,"Управление задачами в таск-трекере это, как говорится, not a rocket science. Если ученик разобрался с gitlab, чтобы работать на проекте, как поставить задачу в JIRA разберется сам. Тем более что на каждом проекте жизненный цикл задачи и способ связи требования и задачи будет своим.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,defect,defect,,,,,"Задания по созданию тест-кейса комментировать не буду, обычно это примерно тот же формат что и Use Case + см. выше.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,defect,defect,,,,,"Задания по созданию задач сводятся к дублированию того, что было сделано ранее и высасыванию из пальца номеров версий и статусов. Тем более в Trello, который из РФ доступен с натяжкой.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,opinion,opinion,,,,,"Трудоемкость завышена, 40 часов было бы достаточно.",
BSA13_RequirementsManagements.ID_1361460-master,bsa13_requirementsmanagements_id_1361460_master__a41877f1,Актуальность,actuality,defect,defect,,,https://business-analytics-russia.ru/requirements-analysis/requirements-manageme,,"Вообще, чаще под управлением требованиями подразумевают в первую очередь версионность самих требований, об этом (и не только) неплохо написано тут https://business-analytics-russia.ru/requirements-analysis/requirements-management-methods/",
A1_Maze_Java.ID_1391854-master,a1_maze_java_id_1391854_master__29d502a1,Актуальность,actuality,defect,defect,,,,,"Нормально ли то, что в материалах ссылка на C++ code style, а код предлагается писать на Java?",
A1_Maze_Java.ID_1391854-master,a1_maze_java_id_1391854_master__29d502a1,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,Нормально ли требование сборки с помощью Makefile?,
AP1_Jv_T04B.ID_1421426-master,ap1_jv_t04b_id_1421426_master__a88e0c31,Грамотность и читаемость текста,readability,defect,defect,,readme.md,,,"Видимо опечатка, так как у нас курс по Java, а в README.md рекомендуют ознакомиться с ASP.NET.",
AP1_Jv_T04B.ID_1421426-master,ap1_jv_t04b_id_1421426_master__a88e0c31,Соответствие заданий проекта чек-листу,checklist_alignment,opinion,opinion,,,,,"Тут тоже показалось, что можно было в качестве подсказки предложить готовый контракт и диаграммы последовательности, его поясняющие.",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,"[Общее]: Утверждение по поводу комментариев спорное, что без комментариев самый лучший код. Я бы убрал.",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Точность и корректность,correctness,defect,defect,,,,,[Общее]: Google C++ style guide не является стандартным и мало где используется для Си.,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,coding-style.h,https://www.kernel.org/doc/html/v6.9/process/coding-style.html#codingstyle,,Лучше Linux code style (https://www.kernel.org/doc/html/v6.9/process/coding-style.html#codingstyle),
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,wiki.sei.c,https://wiki.sei.cmu.edu/confluence/display/c/sei+cert+c+coding+standard,,CERT style in C (https://wiki.sei.cmu.edu/confluence/display/c/SEI+CERT+C+Coding+Standard),
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,"[Quest 1]: Начинать изучение языка лучше C99 стандарта, он самый распространённый и везде поддерживаемый. С11 стандарт не так еще распространен.",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,,https://www.open-std.org/jtc1/sc22/wg14/www/c99rationalev5.10.pdf,,https://www.open-std.org/jtc1/sc22/wg14/www/C99RationaleV5.10.pdf,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,"[Quest 1]: Почему name число? Выглядит, что лучше символы. Или сделать digit",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,,,,"[Общее]: (Принципы структруного программирования) Принцип 1. Следует отказаться от использования оператора безусловного перехода goto. (Исключить, он используется повсеместно)",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,,,,[Общее]: Тесты написаны не для Production ready систем.,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,habr.c,https://habr.com/ru/articles/244835,,Лучше реализовать сразу unit тесты https://habr.com/ru/articles/244835/.,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,"[Общее]: Добавить задачу о том, если задать одно число целое, а другое с плавающей точкой.",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,,,,Добавляет понимание о том как работает неявное преобразование типов.,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,defect,defect,,,,,"[Общее]: Нет примеров с беззнаковыми типами данных, что делает серьезное ограничение в представлении о базовых типах данных и их применения.",
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,[Общее]: Хорошо бы добавить задачи на сохранение раных типах данных в друг друге. Например int в char.,
t03d03-id_239611-master,t03d03_id_239611_master__7020e229,Актуальность,actuality,opinion,opinion,,,,,"[Общее]: Хорошо бы добавить отладчик и описание как им пользоваться. Добавляет возможность понять, как работает программа на каждом шаге ее выполнения.",
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,defect,defect,,,,,[Общее]: Нарушен Code style в code-sample.,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,opinion,opinion,,,,,"[Общее]: В целом задача не очень актуальна, символьная графика используется довольно редко уже.",
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,defect,defect,,,,,Реализация игры на символьной графике.,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,opinion,opinion,,,,,[Общее]: Хорошо бы добавить информацию о конечном автомате.,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,defect,defect,,habr.c,https://habr.com/ru/companies/yandex_praktikum/articles/564800,,https://habr.com/ru/companies/yandex_praktikum/articles/564800/,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,defect,defect,,,https://ru.wikipedia.org/wiki/конечный_автомат,,https://ru.wikipedia.org/wiki/Конечный_автомат,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,opinion,opinion,,,,,[Общее]: Хорошо бы добавить в задачу выход из программы через клавиатуру.,
p01d06-id_239620-master,p01d06_id_239620_master__9885aa41,Актуальность,actuality,defect,defect,,,,,"[Общее]: Нет упоминание, что такое define и include и что такое препроцессинг.",
t05d08-id_239624-master,t05d08_id_239624_master__d6ade4ef,Точность и корректность,correctness,defect,defect,,,,,"[Quest 4]: Противоречие, написано в задаче: """"Функции должны быть компактными и простыми, и занимать не более 20-30 строк кода.=="""", а в принципах структурного программирования 40-50 строк.",
t05d08-id_239624-master,t05d08_id_239624_master__d6ade4ef,Точность и корректность,correctness,opinion,opinion,,,,,[Общее]: Можно добавить информацию о передачи аргументов в функцию по ссылки или значению в list.,
t05d08-id_239624-master,t05d08_id_239624_master__d6ade4ef,Точность и корректность,correctness,opinion,opinion,,,,,"[Общее]: Упор при знакомстве с указателями и массивами лучше делать на операции с ними такие как извлечению и получению данных и на простых алгоритмах, меньше математических функций. Указатели сложная тема для понимания.",
t05d08-id_239624-master,t05d08_id_239624_master__d6ade4ef,Точность и корректность,correctness,defect,defect,,,,,"[Общее]: Задача разбора потока данных является стандартной, но не в том виде, в котором представлены примеры.",
t05d08-id_239624-master,t05d08_id_239624_master__d6ade4ef,Точность и корректность,correctness,defect,defect,,,,,"[Общее]: Нет упоминание, что такое define и include и что такое препроцессинг.",
