  ,Цели блока,№ ,Название проекта,Краткое описание проекта,"Образовательные результаты (знает, понимает, умеет)",Список навыков,Уровень аудитории,Обязательные инструменты (через запятую),Сторителлинг,Формат,Кол-во в группе,"Трудоемкость, астр.часы","Трудоемкость, дни","Общая трудоемкость, дни",XP за проект,Название проекта на платформе и в Gitlab,Ссылки на GitLab/Google docs
Название всего блока (если делим на блоки),- цели всего блока (чему научим),,Название проекта,"Краткое описание, что представляет собой проект и задания в нем","что узнает и чему научится участник конкретно в этом проекте,
используем таксономию Блума","список навыков, которые осваивает пир в этом проекте",Уровень подготовки участника,"Инструменты, обязательные для выполнения проекта","Кейс, роль, рабочая ситуация и ограничения проекта",,,344,"116,96",,1760,очень важно придерживаться правил именования проектов (конфля),ссылки на готовые проекты - идеально ссылки на репы в гитлабе
"Блок 1.
Введение в проектную деятельность                ","Понятие проекта и процесса, их отличия
Основы общего менеджмента: планирование, организация, мотивация, контроль
Что такое проектный менеджмент и его области ответственности
Специфика управления проектами в IT
Роли и функции проектного менеджера
Отличия между IT-проектами и проектами в других сферах
Составление сравнительных таблиц по ключевым параметрам
Оценка ресурсов, бюджета и рисков на примере реальных кейсов
Принципы самообучения и peer-to-peer подход в обучении
",1,Проекты и процессы в управлении,"Введение в проектный менеджмент, определение IT-проектов. Описание роли и функций менеджера проектов. Практика по определению целей, сроков, бюджета и  рисков проекта.","Анализировать и классифицировать проекты и процессы
Выделять ключевые параметры проектной деятельности
Оценивать потребности в ресурсах и длительность работ
Определять бюджет и риски проекта
Формулировать цели и результаты проекта
Работать с табличными форматами проектного анализа
Применять базовые принципы менеджмента в практических заданиях","Project planning, Analytical thinking",Начальный,"Markdown, таблицы, Miro","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Проекты и процессы в управлении» к рабочему кейсу: Введение в проектный менеджмент, определение IT-проектов. Описание роли и функций менеджера проектов. Практика по определению целей, сроков, бюджета...",индивидуальный,,12,"4,08",8,120,PjM1_ProjPM,https://platform.21-school.ru/admin/materials/projects/69337
,"Этапы жизненного цикла IT-проекта
Задачи и специфика каждого этапа (анализ, планирование, реализация, тестирование, внедрение, сопровождение)
Гибкость и изменчивость в ходе проекта
Методики DevOps в жизненном цикле продукта
Сравнение ролей Product Manager и IT Project Manager
Зоны ответственности, цели и методы работы PM и PdM
Ключевые различия в подходах к продукту и к проекту
Формирование презентации как способ проектной аналитики
Факультативное изучение продуктового мышления",2,Жизненный цикл IT-проекта,"Описание жизненного цикла проекта, специфика IT-проектов, знакомство с DevOps подходом. Термины Product manager и project manager.  Задание на описание жизненного цикла продукта в формате презентации. ","Анализировать жизненный цикл цифрового продукта
Выделять ключевые этапы и события в рамках проекта
Описывать функции PM и PdM в связке
Оформлять проектную аналитику в формате презентации
Работать с открытыми источниками и адаптировать информацию под поставленную задачу
Применять принципы стратегического мышления к описанию продукта
Интерпретировать продуктовые и проектные роли в разных бизнес-контекстах
Применять автоматизацию и непрерывную доставку в разработке продукта","Project planning, Analytical thinking, Requirements Analisys",Начальный,"Markdown, таблицы","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Жизненный цикл IT-проекта» к рабочему кейсу: Описание жизненного цикла проекта, специфика IT-проектов, знакомство с DevOps подходом. Термины Product manager и project manager. Задание на...",индивидуальный,,12,"4,08",8,120,PjM2_LifeCycle,https://platform.21-school.ru/admin/materials/tasks/1577616/preview
,"Основы и структура PMBOK
Ценности и принципы Agile-манифеста
Каскадная модель (Waterfall) и её критика
Фреймворки Scrum и Kanban: процессы, роли, артефакты
События Scrum и их функции
Различия между гибкими и предсказуемыми подходами
Гибридные методологие Scrumban, Agile-Waterfall
Методология LEAN
Применение методологий исходя из параметров проекта",3,"Основные методологии управления проектами, методики и фреймворки","Знакомство с самыми популярными методологиями ведения проектов, практика по выбору методологии в проекте. ","Анализировать и сравнивать различные проектные методологии
Выделять ключевые принципы и этапы управления проектом
Описывать фреймворки Scrum и Kanban: события, артефакты, роли
Работать с первоисточниками (Agile-манифест, работа Ройса, Scrum Guide)
Выбирать методологию исходя из параметров проекта 
Ориентироваться в современных подходах к управлению проектами","Project management, Project planning",Начальный,"Markdown, таблицы","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Основные методологии управления проектами, методики и фреймворки» к рабочему кейсу: Знакомство с самыми популярными методологиями ведения проектов, практика по выбору методологии в проекте.",индивидуальный,,12,"4,08",8,120,PjM3_BasicM,https://platform.21-school.ru/admin/materials/projects/69373
,"Цифровые инструменты проектного менеджмента
Задачи и принципы работы таск-трекеров (Jira, Asana, Trello)
Структура и функции баз знаний (Confluence, Notion)
Визуализация задач и статусов выполнения
Календарное планирование и личная эффективность
Работа с командными и индивидуальными календарями
Декомпозиция задач и управление зависимостями
Распределение ролей и ресурсов в таск-трекерах
Планирование встреч и рабочих блоков
Использование общих пространств для брейн-штормов и ретро (Miro, FigJam)
Интеграции Jira/Asana с CI/CD (GitLab CI, GitHub Actions)",4,Инструменты менеджера проектов,"Демонстрация инструментов, которые используется в работе менеджером проектов для планирования и контроля исполнения задач. Знакомство с современными сервисами для совместной работы и автоматизации процессов в компании. Практика в декомпозации задач и применении онлайн сервисов. ","Работать с таск-трекерами и визуализировать проектную структуру
Декомпозировать задачи и распределять роли
Формировать и обновлять базу знаний проекта
Планировать рабочую неделю менеджера
Ставить и отслеживать напоминания
Организовывать рабочие встречи и статусные сессии
Учитывать зависимости между задачами при планировании
Применять онлайн-инструменты командной работы
Связывать онлайн-инструменты с помощью интеграций","Project management, Project planning",Начальный,"Markdown, таблицы, Miro","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Инструменты менеджера проектов» к рабочему кейсу: Демонстрация инструментов, которые используется в работе менеджером проектов для планирования и контроля исполнения задач. Знакомство с современными...",индивидуальный,,20,"6,8",10,200,PjM4_PjMTools,https://platform.21-school.ru/admin/materials/projects/73278
Блок 2. Подготовка проекта,"Роль этапа сбора требований в управлении проектом
Техники сбора требований: интервью, наблюдение, воркшопы, анализ аналогов
Глубинные интервью и работа с ожиданиями заказчика
Принципы эффективной коммуникации: эмпатия, активное слушание
Специфика работы с заказчиком в IT
Оформление и структура документа с требованиями
Приоритизация требований: обязательные, желательные, опциональные
Методы валидации и фиксации ограничений
Написание технического задания 
Инструменты: Figma, Tilda и др.
Начало работы над собственным проектом (сайт)

",5,Сбор требований,"Обучение сбору, валидации требований, формированию ТЗ. Первое задание, связаное с собственным проектом студента.","Применять техники сбора требований на практике
Проводить первичную коммуникацию с заказчиком
Формулировать, структурировать и приоритизировать требования
Оформлять требования в виде документа с визуальными элементами
Фиксировать ограничения и потенциальные риски
Подготавливать техническое задание и формулировать спецификации для API
Работать с требованиями по безопасности и устройчивости систем","Requirements Analisys, Change management, Business Modeling",Базовый,"Markdown, таблицы","Ты подключаешься к проекту после первой встречи с заказчиком. Требования звучат неоднозначно, команда спорит о приоритетах, и тебе нужно превратить разрозненные ожидания в проверяемую основу для работы.",индивидуальный,,16,"5,44",9,160,PjM5_ReqGather,https://platform.21-school.ru/admin/materials/projects/73277
,"Разделение ответственности Project и Product Management
Понятие и структура целевой аудитории
Формулировка и проверка гипотез: HADI и SMART
Качественные и количественные исследования
Фреймворки анализа: Persona, Jobs-To-Be-Done, CJM
Методология Customer Development и её этапы
Сбор и анализ пользовательской обратной связи
Метрики и стратегия развития цифрового продукта
Презентация результатов продуктового анализа",6,Анализ продукта,"Основы методов анализа продукта, исследования ЦА, работа с пользователями, базовые метрики. Описание взаимодействия Product и Project менеджера. Практика по анализу продукта.     ","Формулировать и проверять продуктовые гипотезы
Определять роль проджекта в работе с исследованиями продукта
Проводить пользовательские исследования (опросы, интервью, анализ)
Анализировать поведение и потребности целевой аудитории
Использовать продуктовые фреймворки для сегментации и описания задач
Разрабатывать план Customer Development
Понимать основные метрики продукта
Структурировать и визуализировать аналитические данные в презентации
Работать в команде над концепцией и развитием цифрового продукта","Team work, Project management, Analytical thinking",Базовый,"Google Analytics, Яндекс Метрика, Google Tag Manager, таблицы","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Анализ продукта» к рабочему кейсу: Основы методов анализа продукта, исследования ЦА, работа с пользователями, базовые метрики. Описание взаимодействия Product и Project менеджера....",групповой,3-4,20,"6,8",10,200,PjM6_ProAnalysis ,https://platform.21-school.ru/admin/materials/projects/73280
,"User Story Mapping как инструмент проектирования пользовательского опыта
Компоненты User Story Map: путь пользователя, эпики, задачи, приоритеты
Customer Journey Map (CJM) и её этапы
Отличие пользовательского пути для клиентского продукта и внутреннего (админка, поддержка)
Выявление болей, драйверов, барьеров на пути пользователя
Формирование и приоритизация бэклога
Связь User Story и библиотеки API методов в продукте
Связь между пользовательскими историями и планированием релизов
Создание MVP и распределение задач по релизам
Работа с таск-досками (Asana, Trello)
Визуализация прогресса и статусов задач
Коллаборация в команде и управление ролями
Понятия риск-аппетита и толерантности к риску
Документирование и пересмотр риск-аппетита в организациях",7,"User Story, CJM и бэклог",Проектирование функционала продукта с помощью инструментов User Story и Customer Journey Map. Формирование задач и бэклога для реализации этого функционала. Задания на формирование бэклога на основе пользовательских историй.,"Составлять User Story Map и CJM
Определять действия и цели пользователя в продукте
Формировать бэклог на основе пользовательских историй
Описывать API методы на основе пользовательских историй 
Приоритизировать задачи и распределять их по релизам
Использовать нейросети для формирования документации
Настраивать таск-доски и отслеживать статус задач
Работать с визуальными инструментами планирования
Согласовывать действия команды на этапе проектирования","Team work, Project management, Analytical thinking, Requirements Analisys, Project planning",Базовый,"Miro, таблицы, Markdown","Ты помогаешь команде продукта перевести пользовательские проблемы в понятные user stories и бэклог. Заказчик хочет быстро увидеть, какие задачи попадут в ближайший спринт.",групповой,3-4,12,"4,08",8,120,PjM7_UserStory,https://platform.21-school.ru/admin/materials/projects/73281
"Блок 3. Управление проектными
рисками","Понятие риска и его роль в управлении проектом
Проектный треугольник: время, стоимость, объём работ
Типы рисков: угрозы и возможности
Примеры реальных рисков: vendor lock in(корпоративные мессенджеры, облачные провайдеры), пиратское ПО, утечка данных
Уровни реагирования на риски: реактивный, калькулятивный, проактивный
Методы реагирования: принятие, снижение, избегание, передача
Цикл управления рисками: от планирования до мониторинга
SWOT-анализ как инструмент выявления рисков
P-I матрица (вероятность × влияние)
Создание реестра рисков и работа с шаблоном
Категоризация рисков: технические, организационные, управленческие, внешние
Понятия риск-аппетита и толерантности к риску
Документирование и пересмотр риск-аппетита в организациях",8,"Типы рисков, методы выявления и реагирования","Описание типов рисков на примерах, способы управления рисками. Задания на поиск рисков. ","Определять и формулировать проектные риски
Классифицировать риски по категориям
Применять SWOT-анализ и матрицу оценки рисков
Работать с шаблонами для реестров и таблиц
Оценивать влияние и вероятность рисков
Выбирать стратегию реагирования на риск
Документировать анализ рисков и план реагирования
Определять триггеры рисков и анализировать события ретроспективно","Project management, Project planning, Change management",Базовый,"Markdown, таблицы, Miro","Ты ведешь небольшой IT-проект с меняющимися требованиями, ограниченным сроком и напряжением в команде. Перед статус-встречей нужно выявить риски, понять их источники и подготовить основу для решений.",индивидуальный,,12,"4,08",8,120,PjM8_RisksMng,https://platform.21-school.ru/admin/materials/projects/73282
,"Метрика bus factor и её влияние на устойчивость проекта
Понятие технического долга и его взаимосвязь c рисками на проекте
Качественная и количественная оценка рисков
Формулы и расчёты: EF, SLE, ARO, ALE
Определение и признаки черных лебедей
Примеры реальных черных лебедей в истории
Стратегии управления трудно предсказуемыми рисками
Применение графических методов анализа
Методы реагирования на риски: избегание, перенос, снижение, принятие
План управления рисками как документ проекта
Управление рисками в Agile: гибкие подходы и итеративная оценка
Стратегии митигирования: таблицы и логика выбора
Исторический анализ кейсов кризисов в крупных компаниях (Apple, Netflix и др.)
Связь между планированием, документацией и управлением неопределённостью
Практика построения планов с учётом реальных примеров
План реагирования на инциденты
Разработка презентации на основе анализа кейса",9,План и стратегия митигирования рисков,Описание метрик рисков. Признаки и определение черного лебедя. Разработка плана и стратегии митигирования рисков. ,"Оценивать риск с использованием количественных и качественных метрик
Работать с понятием риск-аппетита в проектной среде
Анализировать уязвимость проекта с помощью bus factor
Идентифицировать и описывать потенциальные черные лебеди
Визуализировать риски и источники угроз
Документировать риски и предлагать меры реагирования
Составлять таблицу плана управления рисками
С помощью нейросетей анализировать риски
Выбирать адекватную стратегию реагирования в зависимости от условий
Анализировать последствия рисков и формулировать пути их смягчения
Выступать с презентацией анализа кризисной ситуации","Types and data structures
Project planning
Project management
Analytical thinking
Requirements analysis
Business modeling",Базовый,"Google Analytics, Яндекс Метрика, Google Tag Manager, таблицы","Ты ведешь небольшой IT-проект с меняющимися требованиями, ограниченным сроком и напряжением в команде. Перед статус-встречей нужно выявить риски, понять их источники и подготовить основу для решений.",индивидуальный,,24,"8,16",12,240,PjM9_PlanStr,https://platform.21-school.ru/admin/materials/projects/73283
Блок 4. Планирование и бюджетирование IT проектов,"Реверсивное и прогрессивное планирование
Понятие временного и ресурсного буфера
Диаграмма сгорания задач (Burndown chart)
Оценка задач по времени: экспертная, сравнительная, пошаговая
Балансировка ресурсов и распределение задач
Инструменты визуализаци: Excel, Asana, GitLab, Azure DevOps
Создание бэклога по требованиям проекта
Отслеживание статуса задач и переходов между этапами
Планирование с учетом релизных циклов CI/CD 
Agile и Scrum в контексте планирования
Интеграция диаграмм в цифровую среду проекта",10,Как эффективно планировать,Основные методы планирования с учетом специфика IT-проектов,"Формировать и визуализировать бэклог проекта
Применять методы реверсивного и прогрессивного планирования
Создавать диаграмму сгорания и использовать её для анализа
Оценивать длительность задач с учётом буферов
Декомпозировать задачи по этапам разработки
Планировать с учетом релизных циклов 
Использовать Asana или другие инструменты планирования
Отслеживать и анализировать прогресс по задачам","DevOps
Types and data structures
Project planning
Project management
Analytical thinking
Requirements analysis
",Базовый,"Markdown, таблицы, Miro",Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Как эффективно планировать» к рабочему кейсу: Основные методы планирования с учетом специфика IT-проектов,индивидуальный,,12,"4,08",8,120,PjM10_EffPlan,https://platform.21-school.ru/admin/materials/projects/73284
,"Work Breakdown Structure (WBS, ИСР) и формы её визуализации
Декомпозиция этапов проекта до уровня пакетов работ
Дорожная карта проекта (roadmap)
Построение диаграммы Ганта и её ключевые элементы
Зависимости между задачами и этапами проекта
Планирование работ в кросс-командных проектах/ с внешними API-интеграциями
Сетевая диаграмма (PERT): узловая и стрелочная
Определение критического пути проекта
Гибкость и прозрачность планирования
Визуальные инструменты: ClickUp, Miro, Asana, Excel
Интеграция таск-доски и графиков выполнения",11,Формирование плана работ на основе бэклога,"Работа с диаграммой Ганта, определение зависимостей, фиксирование рисков, синхронизация бэклога с дорожной картой","Создавать и визуализировать структуру декомпозиции проекта
Формировать дорожную карту проекта
Работать с диаграммой Ганта и настраивать зависимости
Оценивать взаимосвязи и критические участки в плане
Управлять проектом с зависимостями во внешних командах
Использовать инструменты ClickUp, Asana, Miro
Разбивать проект на управляемые блоки и пакеты работ
Визуально представлять план реализации и прогресса","DevOps
Types and data structures
Project planning
Project management
Analytical thinking
",Базовый,"Miro, таблицы, Markdown","Ты помогаешь команде продукта перевести пользовательские проблемы в понятные user stories и бэклог. Заказчик хочет быстро увидеть, какие задачи попадут в ближайший спринт.",индивидуальный,,12,"4,08",8,120,PjM11_Backlog,https://platform.21-school.ru/admin/materials/projects/73285
,"Часовая ставка специалиста и составные элементы стоимости
Понятие человеко-часов и методы их расчёта
Расчёт трудозатрат по этапам проекта
Декомпозиция задач и детализация сметы
Составление финансового плана проекта
Роли и ставки специалистов в digital-проектах
Расходы проекта на платные сервисы:  облачные решения, безопасность, др.
Модели ценообразования (pay-as-you-go, reserved instances)
Подходы к оценке бюджета: Bottom-Up, Top-Down, Analogous
Работа с шаблоном сметы (табличный формат)
Анализ рисков и допущений при расчёте бюджета
Практика самостоятельного составления бюджета на собственный проект",12,Бюджет IT проекта и составление сметы,"Понятие расходов в проекте: человеко-часы, платные сервисы. Расчет необходимого количества времени на каждый из этапов разработки проекта. ","Оценивать объём работ в человеко-часах
Определять состав проектной команды и роль каждого специалиста
Учитывать оплату облачных решений в проекте
Разбираться в форматах подписки платных сервисов
Рассчитывать ставки и формировать структуру расходов
Составлять подробную и прозрачную смету
Работать с шаблонами бюджетов в Excel
Адаптировать подходы оценки под специфику проекта
Оформлять вводную часть и защищать финансовые расчёты","Project management
Analytical thinking
Requirements analysis
Business modeling",Базовый,"Markdown, таблицы, Miro","Ты готовишь оценку IT-проекта перед согласованием бюджета. Команда дала предварительные трудозатраты, а заказчику нужно увидеть понятную смету и риски перерасхода.",индивидуальный,,12,"4,08",8,120,PjM12_Budget,https://platform.21-school.ru/admin/materials/projects/73286
